,City,Latitude,Longitude,Country,pm25_present,pm25_unit,pm25_mean,pm25_median,no2_present,no2_unit,no2_mean,no2_median,o3_present,o3_unit,o3_mean,o3_median,pm10_present,pm10_unit,pm10_mean,pm10_median,co_present,co_unit,co_mean,co_median,so2_present,so2_unit,so2_mean,so2_median,bc_present,bc_unit,bc_mean,bc_median
0,Alto Hospicio,-20.290466881209,-70.100192427636,CL,True,µg/m³,5.666666666666667,6.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
1,北京市,39.8673,116.434,CN,True,µg/m³,8.416666666666666,5.5,True,µg/m³,36.291666666666664,35.5,True,µg/m³,67.91666666666667,68.5,True,µg/m³,38.083333333333336,31.0,True,µg/m³,341.6666666666667,250.0,True,µg/m³,2.5,2.0,False,,,
2,South East Queensland,-27.4296,153.158,AU,True,µg/m³,5.58888888888889,5.5,True,ppm,0.0030606060606060614,0.001,True,ppm,0.027875000000000014,0.028,True,µg/m³,17.202777777777776,16.1,True,ppm,0.10000000000000002,0.1,True,ppm,-666.5987333333331,0.001,False,,,
3,Sydney East,-33.9333333,151.0452778,AU,True,µg/m³,4.3999999999999995,4.4,True,ppm,0.0016133333333333336,0.0017000000000000001,True,ppm,0.024333333333333332,0.023,True,µg/m³,9.383333333333333,6.9,True,ppm,0.12222222222222223,0.1,True,ppm,0.13766666666666666,0.166,False,,,
4,Central & Western,22.285,114.14444444444445,HK,True,µg/m³,22.900000000000002,22.5,True,µg/m³,24.55,24.55,True,µg/m³,56.650000000000006,56.650000000000006,True,µg/m³,35.45,35.45,False,,,,True,µg/m³,3.25,3.25,False,,,
5,Tocopilla,-22.085518710314,-70.188682515839,CL,True,µg/m³,7.0,7.86,True,µg/m³,5.716666666666666,3.83,True,µg/m³,15.436666666666667,16.07,True,µg/m³,23.893333333333334,23.47,True,µg/m³,716.4,716.85,True,µg/m³,3.5216666666666665,3.83,False,,,
6,Eastern,22.282777777777778,114.21944444444445,HK,True,µg/m³,21.333333333333332,21.2,True,µg/m³,29.633333333333336,31.6,True,µg/m³,52.5,50.2,True,µg/m³,32.0,32.9,False,,,,True,µg/m³,1.1,1.1,False,,,
7,Bush Estate,55.862281,-3.205782,GB,False,,,,True,µg/m³,4.5,4.5,True,µg/m³,50.5,50.5,False,,,,False,,,,False,,,,False,,,
8,Zagorje,46.131074,14.996085,SI,False,,,,False,,,,False,,,,True,µg/m³,23.0,21.0,False,,,,False,,,,False,,,
9,Bogota,4.637735,-74.09486,CO,True,µg/m³,23.666666666666668,24.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
10,Tuzla,44.52361111111111,18.60027777777778,BA,True,µg/m³,66.26,60.2,True,µg/m³,18.328571428571426,15.3,True,µg/m³,8.350000000000001,7.550000000000001,False,,,,True,µg/m³,1796.0,1273.0,True,µg/m³,19.857142857142858,20.1,False,,,
11,Edinburgh,55.945589,-3.182186,GB,True,µg/m³,9.0,9.0,True,µg/m³,9.0,9.0,True,µg/m³,43.5,43.5,True,µg/m³,13.0,13.0,False,,,,True,µg/m³,19.0,19.0,False,,,
12,Kowloon,22.322499999999998,114.16833333333334,HK,True,µg/m³,24.842857142857145,25.0,True,µg/m³,41.07777777777778,33.3,True,µg/m³,45.14444444444445,49.2,True,µg/m³,36.12222222222223,37.0,True,µg/m³,777.0333333333333,759.3,True,µg/m³,3.1777777777777776,3.3,False,,,
13,Lukavac,44.53330277777778,18.534891666666667,BA,True,µg/m³,149.73333333333335,154.8,True,µg/m³,13.866666666666667,13.6,True,µg/m³,8.533333333333333,8.4,False,,,,True,µg/m³,2894.0,2970.0,True,µg/m³,0.1,0.1,False,,,
14,Glasgow,55.865782,-4.243631,GB,True,µg/m³,5.0,5.0,True,µg/m³,31.125,16.5,True,µg/m³,48.0,48.0,True,µg/m³,7.0,7.0,False,,,,False,,,,False,,,
15,Calama,-22.462144644634,-68.92806169339,CL,True,µg/m³,8.031111111111109,8.39,False,,,,True,µg/m³,40.88666666666666,41.85,True,µg/m³,41.17111111111112,43.87,True,µg/m³,331.49666666666667,320.28,True,µg/m³,0.9500000000000001,0.93,False,,,
16,Saraburi,14.523536277394,100.92917127159,TH,False,,,,False,,,,False,,,,True,µg/m³,74.25,57.5,True,ppm,0.42,0.42,False,,,,False,,,
17,Amsterdam,52.3597,4.86621,NL,True,µg/m³,-758.1,-999.0,True,µg/m³,-713.7194444444444,-999.0,True,µg/m³,-658.9222222222222,-999.0,True,µg/m³,-744.6666666666666,-999.0,True,µg/m³,-665.8945222222222,-999.0,True,µg/m³,-832.4,-999.0,False,,,
18,Kathmandu,27.738703,85.336205,NP,True,µg/m³,45.5,43.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
19,Manama,26.204697,50.57083,BH,True,µg/m³,23.0,23.5,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
20,Hyderabad,17.349694,78.451437,IN,True,µg/m³,76.77272727272727,74.0,True,µg/m³,47.50999999999999,48.4,True,µg/m³,20.724999999999998,20.6,True,µg/m³,128.0,113.0,True,µg/m³,613.0,610.0,True,µg/m³,9.114999999999998,9.85,False,,,
21,Medellin,6.3790379,-75.4509125,CO,True,µg/m³,-492.77373512820515,20.0,True,ppm,-3332.9853313809517,0.020679200000000002,True,ppm,-833.2444301820832,0.0039,True,µg/m³,-1624.827077777778,47.0,True,ppm,-8887.713047777777,-9999.0,True,ppm,-3332.998133333333,0.0019,False,,,
22,IJmuiden,52.463,4.60184,NL,True,µg/m³,-661.5333333333333,-999.0,True,µg/m³,-659.1666666666666,-999.0,False,,,,True,µg/m³,-659.8333333333334,-999.0,True,µg/m³,-665.8908666666666,-999.0,True,µg/m³,-665.1,-999.0,False,,,
23,Curacao,12.1696,-68.99,CW,True,µg/m³,10.333333333333334,11.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
24,Jakarta,-6.236704,106.79324,ID,True,µg/m³,50.666666666666664,53.5,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
25,Kampala,0.300225,32.591553,UG,True,µg/m³,61.666666666666664,62.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
26,Addis Ababa,8.996519,38.725433,ET,True,µg/m³,-493.6666666666667,-495.5,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
27,Delhi,28.7500499,77.1112615,IN,True,µg/m³,285.2748695652174,276.41,True,µg/m³,55.84254385964913,43.135000000000005,True,µg/m³,13.532660550458726,7.2,True,µg/m³,400.0445918367347,392.01,True,µg/m³,2666.3242990654207,2890.0,True,µg/m³,14.469428571428576,15.45,False,,,
28,Wijk aan Zee,52.494,4.60199,NL,True,µg/m³,-660.5666666666667,-999.0,True,µg/m³,-655.6999999999999,-999.0,False,,,,True,µg/m³,-659.4,-999.0,True,µg/m³,-665.8856666666667,-999.0,True,µg/m³,-662.8000000000001,-999.0,False,,,
29,Živinice,44.45388888888889,18.648333333333333,BA,True,µg/m³,103.7,109.9,True,µg/m³,14.6,15.6,True,µg/m³,9.133333333333333,9.0,False,,,,True,µg/m³,2898.0,2943.0,True,µg/m³,32.199999999999996,34.8,False,,,
30,New Territories,22.28888888888889,113.94361111111111,HK,True,µg/m³,22.77777777777778,23.4,True,µg/m³,26.150000000000002,25.1,True,µg/m³,56.92222222222223,58.349999999999994,True,µg/m³,36.63333333333333,35.55,True,µg/m³,647.9000000000001,668.9,True,µg/m³,4.522222222222222,4.25,False,,,
31,Badhoevedorp,52.334,4.77401,NL,True,µg/m³,-661.0666666666667,-999.0,True,µg/m³,-658.3666666666667,-999.0,False,,,,True,µg/m³,-659.1333333333333,-999.0,True,µg/m³,-665.9152333333333,-999.0,False,,,,False,,,
32,Chon Buri,13.360626576582,100.98454092591,TH,False,,,,False,,,,False,,,,True,µg/m³,39.25,32.5,True,ppm,1.1749999999999998,1.1749999999999998,False,,,,False,,,
33,Zegveld,52.138,4.83819,NL,False,,,,True,µg/m³,19.070000000000004,19.05,True,µg/m³,21.98,21.42,True,µg/m³,16.376666666666665,15.95,True,µg/m³,-995.0,-995.0,False,,,,False,,,
34,Cabauw,51.9745,4.9233,NL,True,µg/m³,11.378666666666668,12.0124,True,µg/m³,-659.75,-998.0,True,µg/m³,20.773333333333337,20.53,True,µg/m³,15.950000000000001,17.23,True,µg/m³,0.25225666666666663,0.24462,True,µg/m³,0.4033333333333333,0.44,False,,,
35,Nijmegen,51.8382,5.85694,NL,True,µg/m³,10.714063333333334,10.557099999999998,True,µg/m³,18.661666666666665,17.755000000000003,True,µg/m³,29.203333333333333,29.86,True,µg/m³,13.816666666666668,12.11,True,µg/m³,-332.6561566666667,0.21751,False,,,,False,,,
36,Grangemouth,56.010319,-3.704399,GB,True,µg/m³,6.0,6.0,True,µg/m³,15.0,15.0,False,,,,True,µg/m³,10.0,10.0,False,,,,True,µg/m³,1.0,1.0,False,,,
37,Lampang,18.247769049494,99.506314173843,TH,False,,,,False,,,,False,,,,True,µg/m³,19.7,18.5,True,ppm,0.6783333333333333,0.6699999999999999,False,,,,False,,,
38,Hoogvliet,51.8674,4.35524,NL,True,µg/m³,-999.0,-999.0,True,µg/m³,-661.3666666666667,-999.0,True,µg/m³,-656.6999999999999,-999.0,True,µg/m³,-660.3000000000001,-999.0,False,,,,False,,,,False,,,
39,Rotterdam Zuid,51.8911,4.48069,NL,True,µg/m³,-662.5166666666667,-999.0,True,µg/m³,-658.2333333333332,-999.0,False,,,,True,µg/m³,-661.2333333333333,-999.0,False,,,,False,,,,False,,,
40,Antofagasta,-23.61354215815,-70.383315682411,CL,True,µg/m³,9.666666666666666,8.0,False,,,,False,,,,True,µg/m³,31.666666666666668,31.0,False,,,,True,µg/m³,1.5599999999999998,1.59,False,,,
41,Ridderkerk,51.8694,4.58006,NL,True,µg/m³,-661.4,-999.0,True,µg/m³,-657.9666666666667,-999.0,True,µg/m³,-658.7666666666667,-999.0,True,µg/m³,-662.1666666666666,-999.0,False,,,,False,,,,False,,,
42,Rotterdam,51.9142,4.47992,NL,True,µg/m³,-215.47970444444445,7.84054,True,µg/m³,-317.4483333333333,18.869999999999997,True,µg/m³,27.48333333333333,25.16,True,µg/m³,-323.52500000000003,11.835,False,,,,False,,,,False,,,
43,Huasco,-28.466423001884,-71.221554279327,CL,True,µg/m³,8.8275,9.235,True,µg/m³,13.77125,7.555,True,µg/m³,35.498333333333335,35.290000000000006,False,,,,True,µg/m³,2862.986666666667,2863.05,True,µg/m³,4.241999999999999,3.92,False,,,
44,Rotterdam Noord ,51.9271,4.46134,NL,False,,,,True,µg/m³,-658.3666666666667,-999.0,True,µg/m³,-658.5,-999.0,True,µg/m³,-659.2666666666667,-999.0,False,,,,False,,,,False,,,
45,Sai Kung,22.317777777777778,114.25944444444444,HK,True,µg/m³,18.266666666666666,19.5,True,µg/m³,20.6,20.3,True,µg/m³,65.96666666666667,66.8,True,µg/m³,30.233333333333334,30.2,True,µg/m³,870.8000000000001,867.1,True,µg/m³,3.8666666666666667,4.0,False,,,
46,Schiedam,51.9214,4.40139,NL,True,µg/m³,-663.1333333333333,-999.0,True,µg/m³,-660.0666666666667,-999.0,True,µg/m³,-656.1333333333333,-999.0,True,µg/m³,-661.1333333333333,-999.0,False,,,,False,,,,False,,,
47,Chesterfield,53.231722,-1.456944,GB,True,µg/m³,9.25,9.0,True,µg/m³,5.75,6.0,False,,,,True,µg/m³,16.0,16.0,False,,,,False,,,,False,,,
48,Maassluis,51.932,4.22802,NL,True,µg/m³,-661.3333333333334,-999.0,True,µg/m³,-659.5,-999.0,True,µg/m³,-999.0,-999.0,True,µg/m³,-662.1999999999999,-999.0,False,,,,False,,,,False,,,
49,Hoek v. Holland,51.9778,4.12194,NL,True,µg/m³,-662.9666666666667,-999.0,True,µg/m³,-656.0,-999.0,True,µg/m³,-659.7333333333333,-999.0,True,µg/m³,-661.0333333333333,-999.0,False,,,,False,,,,False,,,
50,Zeppelinfjellet,78.90669,11.88899,NO,False,,,,False,,,,True,µg/m³,76.66666666666667,76.8,False,,,,False,,,,False,,,,False,,,
51,Freirina,-28.507409284386,-71.126531945122,CL,False,,,,False,,,,False,,,,False,,,,False,,,,True,µg/m³,4.388888888888889,4.36,False,,,
52,Derby,52.922983,-1.469507,GB,False,,,,True,µg/m³,13.5,13.5,False,,,,False,,,,False,,,,False,,,,False,,,
53,Ladybower,53.40337,-1.752006,GB,False,,,,True,µg/m³,8.0,8.0,True,µg/m³,60.5,60.5,False,,,,False,,,,True,µg/m³,11.5,11.5,False,,,
54,Grenland,59.13354,9.6219,NO,True,µg/m³,1.7216150793714287,1.6,True,µg/m³,3.32539761296,2.6566222408,True,µg/m³,28.4,28.4,True,µg/m³,4.183842063485715,2.09,False,,,,False,,,,False,,,
55,Sydney North-west,-33.7947222,150.7458333,AU,False,,,,True,ppm,0.0015333333333333334,0.0012,True,ppm,0.020444444444444446,0.02,True,µg/m³,7.155555555555556,7.9,True,ppm,0.03333333333333333,0.0,True,ppm,0.16322222222222224,0.157,False,,,
56,N.T.,22.391111111111112,113.97666666666667,HK,True,µg/m³,26.333333333333332,26.1,True,µg/m³,20.133333333333336,22.2,True,µg/m³,63.5,60.4,True,µg/m³,40.46666666666667,41.1,True,µg/m³,919.1999999999999,912.0,True,µg/m³,4.533333333333333,4.5,False,,,
57,Leicester,52.619823,-1.127311,GB,True,µg/m³,8.5,8.5,True,µg/m³,11.25,11.0,True,µg/m³,59.0,59.0,True,µg/m³,24.5,24.5,False,,,,False,,,,False,,,
58,Zaandam,52.448,4.81671,NL,True,µg/m³,-661.8666666666667,-999.0,True,µg/m³,-658.6333333333333,-999.0,True,µg/m³,-999.0,-999.0,True,µg/m³,-659.6,-999.0,False,,,,False,,,,False,,,
59,Copiapó,-27.370329154948,-70.323906678352,CL,True,µg/m³,7.296666666666667,5.4,False,,,,False,,,,True,µg/m³,45.26,41.48,False,,,,False,,,,False,,,
60,Veldhoven,51.4074,5.39333,NL,True,µg/m³,16.0108,18.059,True,µg/m³,-315.81333333333333,20.12,True,µg/m³,14.743333333333332,15.32,True,µg/m³,19.363333333333333,23.63,False,,,,False,,,,False,,,
61,Geleen,50.9844,5.82223,NL,True,µg/m³,-999.0,-999.0,True,µg/m³,-830.6666666666666,-999.0,False,,,,True,µg/m³,-999.0,-999.0,False,,,,False,,,,False,,,
62,Andacollo,-30.232905425471,-71.095116497375,CL,False,,,,False,,,,False,,,,True,µg/m³,29.329999999999995,17.24,False,,,,False,,,,False,,,
63,Market Harborough,52.554444,-0.772222,GB,False,,,,True,µg/m³,2.5,2.5,True,µg/m³,69.0,69.0,False,,,,False,,,,False,,,,False,,,
64,Maastricht,50.8459,5.71475,NL,True,µg/m³,-999.0,-999.0,True,µg/m³,-660.3333333333334,-999.0,True,µg/m³,-653.8333333333334,-999.0,True,µg/m³,-999.0,-999.0,False,,,,False,,,,False,,,
65,Fijnaart,51.6537,4.51527,NL,False,,,,True,µg/m³,9.726666666666667,8.64,False,,,,True,µg/m³,9.976666666666667,10.83,False,,,,False,,,,False,,,
66,Nottingham,52.95473,-1.146447,GB,True,µg/m³,8.0,8.0,True,µg/m³,15.25,15.5,True,µg/m³,41.5,41.5,True,µg/m³,15.0,15.0,False,,,,True,µg/m³,10.0,10.0,False,,,
67,Zaanstad,52.4202,4.83206,NL,False,,,,True,µg/m³,-999.0,-999.0,False,,,,True,µg/m³,-999.0,-999.0,False,,,,False,,,,False,,,
68,Coquimbo,-29.970390235273,-71.336038250122,CL,True,µg/m³,8.64,8.41,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
69,Trondheim,63.43038,10.39355,NO,True,µg/m³,15.612556644444444,15.18361425,True,µg/m³,30.30177183975,29.8,False,,,,True,µg/m³,20.803514003700002,21.3,False,,,,False,,,,False,,,
70,South West Queensland,0.0,0.0,AU,True,µg/m³,-4997.3,-4997.3,True,ppm,-370.33299999999997,0.0,True,ppm,-370.31399999999996,0.028,True,µg/m³,-4993.933333333333,-4993.95,True,ppm,-370.3,0.0,False,,,,False,,,
71,Sydney South-west,-34.3075,150.58,AU,True,µg/m³,5.166666666666667,5.2,True,ppm,0.0011722222222222225,0.0010500000000000002,True,ppm,0.02011111111111111,0.0225,True,µg/m³,7.766666666666666,6.5,True,ppm,0.044444444444444446,0.0,True,ppm,0.14194444444444443,0.162,False,,,
72,Hoofddorp,52.3275,4.71501,NL,False,,,,True,µg/m³,-658.4,-999.0,True,µg/m³,-999.0,-999.0,True,µg/m³,-661.1666666666666,-999.0,False,,,,False,,,,False,,,
73,Oude Meer,52.28,4.77077,NL,False,,,,True,µg/m³,-659.2666666666667,-999.0,False,,,,True,µg/m³,-660.4333333333333,-999.0,False,,,,False,,,,False,,,
74,Concón,-32.924568,-71.515399,CL,True,µg/m³,6.0,6.0,True,µg/m³,4.322,6.8,True,µg/m³,24.07166666666667,23.815,False,,,,True,µg/m³,814.1133333333333,816.15,True,µg/m³,5.800000000000001,6.92,False,,,
75,Posterholt,51.1192,6.0424,NL,False,,,,True,µg/m³,14.683333333333335,13.22,True,µg/m³,26.993333333333336,27.29,False,,,,False,,,,False,,,,False,,,
76,Vredepeel,51.5405,5.85307,NL,True,µg/m³,-999.0,-999.0,True,µg/m³,-999.0,-999.0,True,µg/m³,-999.0,-999.0,True,µg/m³,-999.0,-999.0,False,,,,False,,,,False,,,
77,Tap Mun Police Post,22.47138888888889,114.36083333333333,HK,True,µg/m³,21.066666666666666,19.8,True,µg/m³,8.066666666666668,7.5,True,µg/m³,70.96666666666667,71.4,True,µg/m³,37.13333333333333,35.8,True,µg/m³,436.9333333333334,441.1,True,µg/m³,7.066666666666666,6.8,False,,,
78,Cambridge,52.20237,0.124456,GB,False,,,,True,µg/m³,25.5,25.5,False,,,,False,,,,False,,,,False,,,,False,,,
79,Wijnandsrade,50.9023,5.88175,NL,False,,,,True,µg/m³,-327.08666666666664,6.59,True,µg/m³,32.29,32.46,True,µg/m³,9.976666666666667,10.83,False,,,,True,µg/m³,0.08,0.07,False,,,
80,Norwich,52.614193,1.301976,GB,True,µg/m³,7.0,7.0,True,µg/m³,5.0,5.0,True,µg/m³,58.0,58.0,True,µg/m³,12.0,12.0,False,,,,False,,,,False,,,
81,Heerlen,50.9003,5.98685,NL,True,µg/m³,6.063473333333334,6.72334,True,µg/m³,9.066666666666665,8.955,True,µg/m³,49.43666666666667,48.84,True,µg/m³,8.696666666666667,6.99,False,,,,False,,,,False,,,
82,Biest Houtakker,51.5184,5.14845,NL,True,µg/m³,19.966733333333334,19.823,True,µg/m³,21.163333333333334,19.64,True,µg/m³,13.19,13.22,True,µg/m³,30.03,26.19,False,,,,False,,,,False,,,
83,Causeway Bay,22.279999999999998,114.185,HK,True,µg/m³,23.633333333333336,25.0,True,µg/m³,48.73333333333333,52.8,True,µg/m³,34.400000000000006,30.4,True,µg/m³,40.73333333333333,41.4,True,µg/m³,614.0333333333333,616.0,True,µg/m³,5.3,5.1,False,,,
84,Huijbergen,51.4344,4.35984,NL,False,,,,True,µg/m³,12.166666666666666,12.4,True,µg/m³,31.919999999999998,30.21,True,µg/m³,8.27,6.99,False,,,,False,,,,False,,,
85,Sandy,52.132417,-0.300306,GB,True,µg/m³,11.0,11.0,True,µg/m³,7.5,7.5,False,,,,True,µg/m³,17.5,17.5,False,,,,False,,,,False,,,
86,Eindhoven,51.4687,5.47235,NL,False,,,,True,µg/m³,28.138333333333335,27.365000000000002,True,µg/m³,10.783333333333333,11.48,True,µg/m³,19.15,19.15,False,,,,False,,,,False,,,
87,Gladstone,-23.9408,151.351,AU,True,µg/m³,-362.73333333333335,6.65,True,ppm,-158.70880952380952,0.002,True,ppm,0.044333333333333336,0.047,True,µg/m³,-298.9,21.9,True,ppm,0.0,0.0,True,ppm,-158.71152380952378,0.001,False,,,
88,Viña del Mar,-33.020419817382,-71.550092842922,CL,True,µg/m³,8.0,8.0,False,,,,False,,,,True,µg/m³,22.0,22.0,False,,,,False,,,,False,,,
89,Breda,51.6031,4.78102,NL,True,µg/m³,7.84985,8.15414,True,µg/m³,13.934999999999997,13.915,True,µg/m³,34.56333333333333,36.28,True,µg/m³,10.83,7.63,False,,,,False,,,,False,,,
90,Sibton,52.2944,1.463497,GB,False,,,,False,,,,True,µg/m³,60.5,60.5,False,,,,False,,,,False,,,,False,,,
91,Los Andes,-32.844124,-70.592135,CL,False,,,,False,,,,True,µg/m³,53.056666666666665,51.12,False,,,,False,,,,False,,,,False,,,
92,天津市,38.8394,117.145,CN,True,µg/m³,20.6,19.5,True,µg/m³,56.96666666666667,58.0,True,µg/m³,65.2,65.0,True,µg/m³,67.4,66.5,True,µg/m³,933.3333333333334,900.0,True,µg/m³,12.9,11.0,False,,,
93,Central,22.281944444444445,114.15805555555556,HK,True,µg/m³,13.466666666666669,14.3,True,µg/m³,42.333333333333336,43.6,True,µg/m³,47.300000000000004,46.1,True,µg/m³,21.666666666666668,22.4,True,µg/m³,689.9,686.0,True,µg/m³,4.300000000000001,4.3,False,,,
94,Zierikzee,51.6347,3.91662,NL,False,,,,True,µg/m³,13.993333333333332,15.52,True,µg/m³,31.23333333333333,29.64,False,,,,False,,,,False,,,,False,,,
95,London,51.52253,-0.213492,GB,True,µg/m³,8.117647058823529,7.0,True,µg/m³,19.071428571428573,13.5,True,µg/m³,49.64705882352941,55.0,True,µg/m³,16.066666666666666,17.0,False,,,,True,µg/m³,3.375,2.5,False,,,
96,Quintero,-32.794968417299,-71.496099073086,CL,True,µg/m³,4.58,4.77,True,µg/m³,2.701,2.9850000000000003,True,µg/m³,20.386000000000003,20.869999999999997,True,µg/m³,18.451999999999998,19.97,True,µg/m³,331.27250000000004,261.61,True,µg/m³,7.901666666666667,6.8100000000000005,False,,,
97,Philippine,51.2945,3.74948,NL,False,,,,True,µg/m³,-658.8833333333333,-998.0,True,µg/m³,36.00666666666667,38.76,True,µg/m³,10.403333333333334,12.11,False,,,,True,µg/m³,4.133333333333334,3.77,False,,,
98,Den Haag,52.0771,4.28919,NL,True,µg/m³,6.462006666666667,5.38956,True,µg/m³,21.817777777777778,20.04,True,µg/m³,25.645,25.755000000000003,True,µg/m³,15.238888888888889,15.95,False,,,,False,,,,False,,,
99,St Osyth,51.77798,1.049031,GB,False,,,,True,µg/m³,6.5,6.5,True,µg/m³,70.0,70.0,False,,,,False,,,,False,,,,False,,,
100,Westmaas,51.7866,4.45053,NL,False,,,,True,µg/m³,9.020000000000001,8.26,True,µg/m³,35.04333333333333,34.9,True,µg/m³,12.536666666666667,13.39,False,,,,False,,,,False,,,
101,Stanford-le-Hope,51.518167,0.439548,GB,True,µg/m³,6.0,6.0,True,µg/m³,1.5,1.5,False,,,,True,µg/m³,14.0,14.0,False,,,,False,,,,False,,,
102,Dordrecht,51.8007,4.70824,NL,False,,,,True,µg/m³,12.443333333333333,10.48,True,µg/m³,30.453333333333333,31.29,True,µg/m³,9.976666666666667,9.55,False,,,,False,,,,False,,,
103,De Zilk,52.2966,4.51082,NL,True,µg/m³,6.570133333333334,6.59398,True,µg/m³,17.746666666666666,16.29,True,µg/m³,23.600000000000005,24.35,True,µg/m³,14.243333333333334,14.67,False,,,,True,µg/m³,1.0200000000000002,1.07,False,,,
104,Wieringerwerf,52.8037,5.05051,NL,True,µg/m³,11.724933333333334,11.9438,True,µg/m³,31.72,30.52,True,µg/m³,15.743333333333334,16.33,True,µg/m³,19.79,21.07,False,,,,False,,,,False,,,
105,Haarlem,52.3705,4.64232,NL,False,,,,True,µg/m³,22.55,21.15,True,µg/m³,20.12,20.15,True,µg/m³,16.803333333333335,13.39,False,,,,False,,,,False,,,
106,Biddinghuizen,52.4232,5.59338,NL,False,,,,True,µg/m³,17.98333333333333,15.95,True,µg/m³,27.393333333333334,28.09,True,µg/m³,18.083333333333332,19.79,False,,,,False,,,,False,,,
107,Valparaíso,-33.049743798096,-71.614167231712,CL,True,µg/m³,5.05,2.91,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
108,Weybourne,52.95049,1.122017,GB,False,,,,False,,,,True,µg/m³,60.5,60.5,False,,,,False,,,,False,,,,False,,,
109,Wicken Fen,52.2985,0.290917,GB,False,,,,True,µg/m³,2.0,2.0,True,µg/m³,63.5,63.5,False,,,,False,,,,True,µg/m³,2.0,2.0,False,,,
110,Utrecht,52.0677,5.12051,NL,True,µg/m³,13.626133333333335,13.0022,True,µg/m³,-86.18,24.73,True,µg/m³,14.079999999999998,13.98,True,µg/m³,22.563333333333333,22.990000000000002,False,,,,False,,,,False,,,
111,Machalí,-34.241168,-70.55283,CL,False,,,,False,,,,False,,,,False,,,,False,,,,True,µg/m³,8.37142857142857,7.1,False,,,
112,Breukelen,52.2015,4.98744,NL,True,µg/m³,10.894219999999999,11.8654,True,µg/m³,21.650000000000002,21.88,True,µg/m³,22.099999999999998,21.4,True,µg/m³,17.23,17.23,False,,,,False,,,,False,,,
113,Illawarra,-34.4186111,150.8863889,AU,True,µg/m³,4.533333333333333,4.5,True,ppm,0.001488888888888889,0.0014000000000000002,True,ppm,0.029777777777777778,0.032,True,µg/m³,10.666666666666666,7.2,True,ppm,0.05000000000000001,0.05,True,ppm,0.12955555555555553,0.184,False,,,
114,Rancagua,-34.162314609087,-70.713919225517,CL,True,µg/m³,8.25,7.0,False,,,,False,,,,True,µg/m³,52.32000000000001,50.94,True,µg/m³,444.4533333333334,444.68,True,µg/m³,6.876666666666666,6.94,False,,,
115,Eibergen,52.0918,6.60537,NL,False,,,,True,µg/m³,22.98,21.19,True,µg/m³,10.873333333333335,11.44,True,µg/m³,17.656666666666666,17.23,False,,,,True,µg/m³,1.1333333333333335,0.92,False,,,
116,Rengo,-34.394541417902,-70.852981542328,CL,True,µg/m³,8.5,8.5,False,,,,False,,,,True,µg/m³,44.0,44.0,False,,,,False,,,,False,,,
117,Wekerom,52.1116,5.70842,NL,True,µg/m³,11.2676,11.15,True,µg/m³,19.673333333333332,19.88,True,µg/m³,25.290000000000003,25.66,True,µg/m³,12.963333333333333,12.11,False,,,,False,,,,False,,,
118,San Fernando,-34.579759917069,-70.989685186508,CL,True,µg/m³,6.0,6.0,False,,,,True,µg/m³,31.13333333333333,32.11,True,µg/m³,30.653333333333336,30.92,False,,,,False,,,,False,,,
119,Hellendoorn,52.3883,6.40293,NL,False,,,,True,µg/m³,34.233333333333334,34.05,True,µg/m³,9.636666666666667,9.22,True,µg/m³,18.936666666666667,18.51,False,,,,False,,,,False,,,
120,Barsbeek,52.6541,6.01757,NL,False,,,,True,µg/m³,33.92666666666667,33.18,True,µg/m³,6.04,5.91,True,µg/m³,19.79,19.79,False,,,,False,,,,False,,,
121,Mackay,-21.9995,148.071,AU,False,,,,False,,,,False,,,,True,µg/m³,41.76666666666667,41.95,False,,,,False,,,,False,,,
122,Balk,52.9169,5.57349,NL,False,,,,True,µg/m³,34.86333333333334,33.43,True,µg/m³,6.366666666666667,7.62,True,µg/m³,18.51,18.51,False,,,,False,,,,False,,,
123,Valthermond,52.8757,6.93243,NL,False,,,,True,µg/m³,26.51,26.21,True,µg/m³,6.956666666666667,6.81,True,µg/m³,17.23,18.51,False,,,,False,,,,False,,,
124,Townsville,-19.2509,146.807,AU,True,µg/m³,7.233333333333334,7.2,True,ppm,0.0013333333333333333,0.001,False,,,,True,µg/m³,21.177777777777777,19.9,False,,,,True,ppm,0.0006666666666666666,0.0005,False,,,
125,Kollumerwaard,53.3304,6.27681,NL,True,µg/m³,12.7768,12.9434,True,µg/m³,27.19333333333333,26.82,True,µg/m³,7.8133333333333335,7.6,True,µg/m³,24.48333333333333,26.19,False,,,,True,µg/m³,1.0966666666666667,1.01,False,,,
