,City,Latitude,Longitude,Country,pm25_present,pm25_unit,pm25_mean,pm25_median,no2_present,no2_unit,no2_mean,no2_median,o3_present,o3_unit,o3_mean,o3_median,pm10_present,pm10_unit,pm10_mean,pm10_median,co_present,co_unit,co_mean,co_median,so2_present,so2_unit,so2_mean,so2_median,bc_present,bc_unit,bc_mean,bc_median
584,广安市,30.4551,106.6271,CN,True,µg/m³,38.5,40.0,True,µg/m³,22.8,24.5,True,µg/m³,35.8,36.0,True,µg/m³,59.6,62.5,True,µg/m³,600.0,600.0,True,µg/m³,5.1,5.0,False,,,
585,达州市,31.1956,107.4611,CN,True,µg/m³,43.1,42.0,True,µg/m³,26.4,27.0,True,µg/m³,57.6,64.0,True,µg/m³,64.1,64.0,True,µg/m³,1040.0,1050.0,True,µg/m³,7.6,6.5,False,,,
586,雅安市,29.9816,103.0001,CN,True,µg/m³,82.25,81.5,True,µg/m³,18.625,19.0,True,µg/m³,42.125,39.5,True,µg/m³,94.57142857142857,91.0,True,µg/m³,600.0,600.0,True,µg/m³,22.375,24.5,False,,,
587,资阳市,30.1142,104.6289,CN,True,µg/m³,26.2,23.5,True,µg/m³,33.9,32.5,True,µg/m³,67.0,67.0,True,µg/m³,60.5,59.0,True,µg/m³,580.0,600.0,True,µg/m³,6.5,5.5,False,,,
588,阿坝州,31.8934,102.1755,CN,True,µg/m³,13.166666666666666,12.5,True,µg/m³,8.666666666666666,9.0,True,µg/m³,70.33333333333333,72.0,True,µg/m³,17.25,17.0,True,µg/m³,366.6666666666667,300.0,True,µg/m³,4.666666666666667,5.0,False,,,
589,甘孜州,30.0475,101.9603,CN,True,µg/m³,10.75,11.0,True,µg/m³,20.25,16.0,True,µg/m³,72.5,72.5,True,µg/m³,18.666666666666668,19.0,True,µg/m³,225.0,250.0,True,µg/m³,6.75,6.5,False,,,
590,凉山州,27.8094,102.2311,CN,True,µg/m³,21.0,21.0,True,µg/m³,25.3,28.5,True,µg/m³,92.2,92.0,True,µg/m³,28.4,27.0,True,µg/m³,970.0,1050.0,True,µg/m³,12.3,12.5,False,,,
591,六盘水市,26.5506,104.83,CN,True,µg/m³,23.2,23.5,True,µg/m³,26.6,29.5,True,µg/m³,78.8,77.0,True,µg/m³,31.88888888888889,33.0,True,µg/m³,680.0,500.0,True,µg/m³,22.3,13.5,False,,,
592,铜仁地区,27.7231,109.1794,CN,True,µg/m³,11.0,11.0,True,µg/m³,22.5,23.0,True,µg/m³,28.5,28.5,True,µg/m³,32.75,30.0,True,µg/m³,975.0,1000.0,True,µg/m³,3.0,3.0,False,,,
593,毕节市,27.2944,105.2864,CN,True,µg/m³,8.75,8.5,True,µg/m³,8.25,8.0,True,µg/m³,49.5,49.5,True,µg/m³,13.0,12.5,True,µg/m³,775.0,800.0,True,µg/m³,7.5,7.5,False,,,
594,黔西南州,25.0925,104.8811,CN,True,µg/m³,13.25,13.5,True,µg/m³,13.25,13.0,True,µg/m³,64.0,64.0,True,µg/m³,20.25,19.5,True,µg/m³,675.0,650.0,True,µg/m³,3.0,3.0,False,,,
595,黔东南州,26.53111111,107.8908333,CN,True,µg/m³,27.0,26.0,True,µg/m³,18.25,17.5,True,µg/m³,50.0,50.0,True,µg/m³,38.25,36.0,True,µg/m³,875.0,850.0,True,µg/m³,34.5,34.5,False,,,
596,黔南州,26.2403,107.5228,CN,True,µg/m³,13.0,13.0,True,µg/m³,5.5,5.5,True,µg/m³,68.0,68.0,True,µg/m³,16.0,16.0,True,µg/m³,400.0,400.0,True,µg/m³,5.0,5.0,False,,,
597,保山市,25.1081,99.1678,CN,True,µg/m³,14.0,14.0,True,µg/m³,6.5,6.5,True,µg/m³,79.5,79.5,True,µg/m³,20.75,18.5,True,µg/m³,600.0,600.0,True,µg/m³,4.75,4.5,False,,,
598,昭通市,27.3361,103.7032,CN,True,µg/m³,18.25,17.0,True,µg/m³,25.0,25.0,True,µg/m³,89.5,89.5,True,µg/m³,39.0,38.5,True,µg/m³,750.0,750.0,True,µg/m³,21.75,21.5,False,,,
599,丽江市,26.8576,100.2143,CN,True,µg/m³,11.333333333333334,12.0,True,µg/m³,9.166666666666666,10.0,True,µg/m³,75.33333333333333,74.0,True,µg/m³,17.333333333333332,18.5,True,µg/m³,650.0,700.0,True,µg/m³,7.333333333333333,7.0,False,,,
600,普洱市,22.7633,100.98,CN,True,µg/m³,20.75,22.0,True,µg/m³,19.5,19.5,True,µg/m³,77.0,77.0,True,µg/m³,39.5,35.0,True,µg/m³,575.0,550.0,True,µg/m³,5.5,5.5,False,,,
601,临沧市,23.8822,100.0782,CN,True,µg/m³,12.75,14.0,True,µg/m³,15.75,15.0,True,µg/m³,77.0,77.0,True,µg/m³,25.5,24.0,True,µg/m³,850.0,850.0,True,µg/m³,18.0,16.0,False,,,
602,楚雄州,25.0441,101.538,CN,True,µg/m³,37.75,38.0,True,µg/m³,28.25,28.0,True,µg/m³,66.0,66.0,True,µg/m³,61.0,60.0,True,µg/m³,1250.0,1250.0,True,µg/m³,73.25,70.0,False,,,
603,红河州,23.3682,103.3758,CN,True,µg/m³,14.333333333333334,14.0,True,µg/m³,10.5,10.0,True,µg/m³,77.66666666666667,79.0,True,µg/m³,21.333333333333332,20.0,True,µg/m³,550.0,500.0,True,µg/m³,16.333333333333332,11.5,False,,,
604,文山州,23.3594,104.2319,CN,True,µg/m³,21.25,22.0,True,µg/m³,12.25,12.0,True,µg/m³,73.0,73.0,True,µg/m³,28.0,26.0,True,µg/m³,475.0,500.0,True,µg/m³,12.0,12.0,False,,,
605,西双版纳州,22.0019,100.7939,CN,True,µg/m³,24.25,22.5,True,µg/m³,14.5,14.5,True,µg/m³,79.0,79.0,True,µg/m³,43.0,42.0,True,µg/m³,550.0,550.0,True,µg/m³,6.0,6.0,False,,,
606,大理州,25.5811,100.1542,CN,True,µg/m³,12.75,10.5,True,µg/m³,13.25,12.0,True,µg/m³,88.0,88.0,True,µg/m³,22.25,22.0,True,µg/m³,450.0,450.0,True,µg/m³,6.0,6.0,False,,,
607,德宏州,24.428,98.578,CN,True,µg/m³,20.5,21.5,True,µg/m³,19.25,19.5,True,µg/m³,76.5,76.5,True,µg/m³,34.5,35.0,True,µg/m³,625.0,600.0,True,µg/m³,17.75,17.5,False,,,
